x1,x2,label
-0.3791,-1.64,outer
-0.8916,2.0876,outer
-1.5045,0.5528,outer
1.7574,0.6777,outer
0.9606,0.2933,inner
0.3013,0.6505,inner
1.7337,0.2599,outer
-0.413,-0.8443,inner
0.5661,-2.418,outer
0.7155,-0.284,inner
-0.0651,0.1769,inner
1.3249,-1.7486,outer
0.3418,-0.8431,inner
-0.3254,-0.6526,inner
0.2619,-0.8572,inner
-0.4911,0.6357,inner
-2.4184,-0.1364,outer
-0.387,-0.0688,inner
-1.4953,-0.971,outer
1.6826,-1.0399,outer
0.657,-0.0416,inner
1.5902,1.5181,outer
-0.3995,1.8691,outer
-0.8475,0.1554,inner
-0.1912,-0.461,inner
0.6823,-0.6063,inner
-0.4829,0.5686,inner
0.35,0.7943,inner
0.5372,2.2805,outer
0.3228,0.6286,inner
1.2311,1.6237,outer
-1.4371,-0.8095,outer
-0.7192,1.4567,outer
-1.9529,-1.309,outer
1.3856,1.0065,outer
-0.139,0.1974,inner
1.024,-1.9169,outer
0.0226,0.5099,inner
1.2969,1.4787,outer
0.4657,0.6759,inner
-0.3679,0.3186,inner
-1.059,-1.2828,outer
2.0871,-0.0548,outer
0.5078,0.0407,inner
-1.744,-0.4021,outer
-1.6427,1.289,outer
0.0057,0.2572,inner
-0.1087,-2.12,outer
-0.2348,0.7298,inner
0.3497,-0.0454,inner
-0.448,0.4144,inner
-0.7267,0.3191,inner
0.4037,0.501,inner
0.3081,-0.7769,inner
1.831,-1.1122,outer
-0.3461,-0.0593,inner
-1.1081,1.6665,outer
0.2831,-0.3698,inner
1.635,0.8866,outer
0.5221,-0.2335,inner
1.7546,0.1592,outer
1.4315,0.6504,outer
2.506,-0.3293,outer
-0.6451,2.1179,outer
-0.3764,-1.6075,outer
0.4247,2.0439,outer
2.0256,-1.1614,outer
0.6911,0.2871,inner
0.4772,2.2858,outer
0.5476,-0.6651,inner
1.411,1.4177,outer
0.5559,1.7129,outer
0.0487,-0.6331,inner
1.2135,1.1182,outer
0.1717,-0.9326,inner
0.2936,0.2761,inner
1.1201,2.1938,outer
0.5157,-0.7897,inner
1.7365,0.4746,outer
-0.3467,-0.0645,inner
0.3525,0.8213,inner
0.4889,0.7671,inner
-2.1789,0.4179,outer
0.6846,0.3079,inner
-1.5477,1.3415,outer
0.6734,-1.9582,outer
-0.3322,-0.8504,inner
0.1125,0.0208,inner
-1.8238,-1.1196,outer
-2.4223,0.1399,outer
-1.9654,-0.3776,outer
2.2768,0.7391,outer
-0.8714,0.2178,inner
0.1029,0.6448,inner
0.8674,0.0968,inner
-1.6764,-1.0605,outer
1.8535,0.1694,outer
-0.1047,-0.3787,inner
-0.206,0.8546,inner
0.2141,0.1367,inner
-1.8935,1.5915,outer
-0.8209,-0.0091,inner
-0.6123,-0.0445,inner
-0.4632,0.2654,inner
0.282,1.7099,outer
1.3864,2.0072,outer
-0.166,0.6715,inner
-0.3142,-0.1503,inner
2.0791,-1.3118,outer
-0.055,-0.3103,inner
0.2492,0.3089,inner
0.4038,-2.2025,outer
-0.2578,0.074,inner
0.5395,-0.1104,inner
-0.084,-0.2976,inner
-0.1324,-0.4635,inner
-0.4331,-0.532,inner
0.4087,0.7899,inner
1.4039,-1.7105,outer
0.8498,-0.1679,inner
0.3319,-0.1885,inner
-1.8002,-0.8496,outer
-0.4465,0.4202,inner
-0.6973,-0.2096,inner
-0.544,0.2854,inner
-0.8304,-1.2925,outer
1.7762,-1.0099,outer
-0.1341,-0.9359,inner
0.5224,0.1073,inner
-0.1254,-0.5339,inner
-1.429,1.1425,outer
1.1007,2.2025,outer
1.9548,0.2316,outer
0.0224,-0.4466,inner
-1.0999,2.0157,outer
0.8759,2.1327,outer
0.93,1.6811,outer
0.6735,-0.4807,inner
-1.3358,0.7747,outer
-1.5023,-0.209,outer
-0.3376,-0.7615,inner
-2.1308,1.2819,outer
0.6056,0.1446,inner
1.0193,-1.6491,outer
0.1525,-1.5491,outer
-0.6596,0.7207,inner
0.2227,0.2033,inner
-2.2918,-0.8705,outer
1.889,0.697,outer
0.3806,-2.302,outer
0.9232,0.1927,inner
1.5019,0.7058,outer
0.8526,-1.2697,outer
-1.2957,1.3352,outer
1.5494,0.9839,outer
-0.3688,-1.9944,outer
0.573,-0.5426,inner
-1.325,0.7533,outer
-1.254,-1.5755,outer
0.522,-0.4854,inner
-0.3004,-1.5515,outer
-0.4675,0.1703,inner
0.4206,0.8017,inner
1.7862,-1.2561,outer
0.8378,1.5423,outer
0.3445,0.3498,inner
-0.7686,-0.5499,inner
0.1055,0.148,inner
-1.038,-1.9067,outer
1.735,0.6296,outer
0.2595,-0.0451,inner
-0.1355,-0.574,inner
1.0742,0.1971,inner
-0.5115,-0.6797,inner
0.5482,-1.6389,outer
-0.2052,0.4353,inner
-0.2229,0.8744,inner
1.4436,1.2436,outer
-1.802,-1.2991,outer
-0.6206,-0.1838,inner
-0.0146,0.69,inner
-1.7268,-0.2721,outer
-0.338,-0.7172,inner
-0.363,2.2352,outer
1.817,-0.1435,outer
-1.6126,0.5489,outer
-1.9735,0.9362,outer
-1.2264,-2.051,outer
0.3226,-0.912,inner
0.4653,-0.719,inner
-0.2792,-0.9308,inner
1.3151,-1.9393,outer
1.0342,-1.9773,outer
-2.1796,-0.3897,outer
-0.3389,0.7899,inner
0.9414,1.813,outer
-0.6036,-0.2439,inner
0.7707,0.1946,inner
-0.3796,-0.8182,inner
-1.435,1.6245,outer
1.1194,1.0709,outer
-0.4927,-0.7065,inner
-0.2594,-0.4942,inner
-0.6461,1.6811,outer
0.2243,-0.9703,inner
1.4743,1.9772,outer
-0.3411,0.5292,inner
-1.1718,-1.8285,outer
1.9338,0.6729,outer
-0.5472,-0.08,inner
-1.8844,-0.9632,outer
0.4826,-0.306,inner
-0.2442,-1.404,outer
-0.2299,0.085,inner
-0.3732,-0.8532,inner
0.4127,-2.2859,outer
0.0684,-0.7905,inner
-2.1717,-1.1336,outer
-1.485,0.4035,outer
-0.7114,1.7519,outer
-1.0562,-2.0838,outer
0.4347,0.3055,inner
-0.0834,-0.1811,inner
0.2345,-0.5905,inner
1.1821,-1.6297,outer
-1.3433,1.0735,outer
0.4506,0.0443,inner
-0.6134,0.7378,inner
-0.8117,0.3605,inner
1.4243,1.7688,outer
-0.7393,2.0927,outer
0.5758,-0.3954,inner
0.909,1.5144,outer
0.0426,0.8473,inner
0.6202,-0.3774,inner
0.6677,-1.5308,outer
-0.3029,0.8529,inner
-0.1734,-0.6896,inner
-0.861,1.3018,outer
-0.0203,0.4673,inner
-0.6476,0.2428,inner
0.3378,-0.4021,inner
-2.1588,0.8808,outer
-0.0799,-0.874,inner
0.5635,0.4181,inner
-0.5154,0.5794,inner
-0.1696,-0.1086,inner
-0.8265,0.0333,inner
0.9866,-2.2596,outer
0.3588,0.5049,inner
-1.7017,-1.2644,outer
-1.7685,1.5733,outer
0.9127,0.0161,inner
-1.9774,0.2979,outer
0.5144,-0.1484,inner
0.3739,-0.7338,inner
0.4165,1.665,outer
1.471,-1.5042,outer
-0.6004,-0.3084,inner
-0.012,0.4127,inner
-1.6639,-1.5632,outer
0.1418,-0.6161,inner
-0.6888,-2.09,outer
-2.0826,1.1254,outer
1.858,0.4634,outer
2.0878,-1.2268,outer
-0.7684,-0.415,inner
-1.7755,-0.0913,outer
2.2216,0.9909,outer
-0.3715,-0.1502,inner
1.5402,0.5589,outer
-0.9868,2.1199,outer
0.4087,0.0967,inner
1.9498,0.4143,outer
2.033,0.2943,outer
-1.6063,0.8787,outer
1.584,-0.8198,outer
-0.1768,0.7419,inner
-0.9403,-0.0788,inner
-0.3826,0.4466,inner
-1.7362,-0.3587,outer
0.9772,0.2914,inner
0.7049,0.5415,inner
-0.0019,-0.4707,inner
1.6839,-0.1987,outer
0.1353,-0.8464,inner
0.4636,0.0402,inner
1.3148,-0.537,outer
1.5344,0.8885,outer
0.8161,-0.3715,inner
-1.7466,0.6005,outer
-0.3434,1.5763,outer
-0.4268,0.6323,inner
-1.9539,-1.1788,outer
1.0573,2.2882,outer
-0.6475,0.2085,inner
0.0239,0.1856,inner
1.1075,-1.5651,outer
-1.0727,2.2357,outer
-0.2826,-0.3978,inner
0.0726,-0.4006,inner
1.9376,1.4891,outer
-1.4005,0.4344,outer
0.3279,-0.5521,inner
0.1129,0.4275,inner
-0.27,-0.5442,inner
1.9511,1.3423,outer
-0.2756,0.8584,inner
0.7687,0.0393,inner
0.0059,0.3524,inner
0.8569,1.3043,outer
0.3212,-0.6996,inner
-0.8625,-0.3859,inner
-1.0597,-1.0068,outer
-0.1063,0.8399,inner
-0.0218,1.7935,outer
0.0613,-0.5433,inner
0.6343,-2.4819,outer
0.3496,-0.7038,inner
-0.2297,0.125,inner
-0.7631,1.3285,outer
0.577,0.6486,inner
-2.0961,-0.1359,outer
-1.737,-0.8154,outer
1.6331,-1.1858,outer
-0.52,2.1654,outer
0.8014,0.4577,inner
1.6629,-0.0465,outer
0.5378,0.1843,inner
-0.2778,-0.7355,inner
0.0142,-0.6332,inner
0.2177,-0.3162,inner
0.8745,1.2223,outer
0.5609,0.1225,inner
-1.6368,-0.6016,outer
-1.6046,-1.2434,outer
-0.0571,-0.9681,inner
-0.5507,-0.288,inner
0.6582,-1.9808,outer
0.2126,-0.4262,inner
-0.5995,2.1443,outer
-1.6534,-0.8875,outer
1.4638,-0.349,outer
-0.3402,1.6264,outer
0.9749,0.1824,inner
1.5582,-1.7859,outer
-0.0572,0.1877,inner
2.103,-0.3126,outer
-0.6422,-0.4039,inner
-0.0307,0.2155,inner
-0.4384,-0.2554,inner
0.6103,-0.0634,inner
-0.7212,0.1169,inner
-2.1219,0.9774,outer
0.607,-0.441,inner
-1.144,1.964,outer
0.2759,-0.6374,inner
0.288,0.0525,inner
0.6803,0.6265,inner
-0.4725,-0.2615,inner
-0.6629,-0.7331,inner
-0.8648,-1.5258,outer
1.4313,-1.3319,outer
-0.6236,-0.2363,inner
0.0956,1.8509,outer
2.2494,0.3723,outer
0.5424,-0.2142,inner
2.078,-1.222,outer
-0.8662,-0.2808,inner
0.2095,0.3216,inner
-0.4638,0.0957,inner
-0.146,-1.8715,outer
0.2669,0.7193,inner
0.5053,1.5654,outer
-0.898,1.5444,outer
-0.9366,0.3683,inner
-0.1157,1.6661,outer
-0.109,0.0904,inner
-0.0083,0.2764,inner
-0.863,-2.1484,outer
0.4245,0.2021,inner
-0.7079,-0.4697,inner
-0.3695,-0.198,inner
0.7291,0.0587,inner
1.6163,1.3494,outer
1.3732,-1.0772,outer
0.4063,-0.7396,inner
1.2057,-1.5705,outer
-0.6075,0.8763,inner
-1.9027,-0.2283,outer
-0.843,0.075,inner
0.3655,-0.7453,inner
0.0707,-0.2113,inner
-1.8643,-0.9333,outer
-0.9381,-0.0759,inner
2.1091,0.2032,outer
0.4931,0.3409,inner
-0.5398,-0.0391,inner
0.021,2.2945,outer
-0.3807,2.2438,outer
-1.1982,-1.7195,outer
2.1784,0.766,outer
0.5155,-0.491,inner
0.6474,0.1068,inner
0.0108,0.0526,inner
0.7859,2.0036,outer
-1.8397,0.4913,outer
-0.5297,-0.2386,inner
-1.3693,1.2013,outer
-0.0465,0.778,inner
2.3843,0.4777,outer
0.016,-0.4667,inner
0.5794,-0.5543,inner
0.2475,-0.7585,inner
0.6956,-0.4271,inner
1.9177,-0.258,outer
-0.1668,-0.9055,inner
-0.2183,0.8782,inner
